ubigeo,ambito,nombre,provincia,departamento,razon,actas_pct,donor_ubigeo,donor_nombre,scope
010106,1,Chuquibamba,Chachapoyas,Amazonas,0% actas contabilizadas,0.0,010110+010416+010115,Leimebamba+San Francisco Del Yeso+Montevideo,"centroide (25.9 km, 32.4 km, 35.7 km)"
010107,1,Granada,Chachapoyas,Amazonas,0% actas contabilizadas,0.0,010116+010102+010114,Olleros+Asunción+Molinopampa,"centroide (10.6 km, 12.3 km, 12.3 km)"
010117,1,Quinjalca,Chachapoyas,Amazonas,0% actas contabilizadas,0.0,010105+010102+010116,Chiliquin+Asunción+Olleros,"centroide (6.7 km, 7.5 km, 7.5 km)"
010603,1,El Cenepa,Condorcanqui,Amazonas,0% actas contabilizadas,0.0,010206+061106+010202,Imaza+San José De Lourdes+Aramango,"centroide (80.0 km, 110.4 km, 111.2 km)"
010601,1,Nieva,Condorcanqui,Amazonas,0% actas contabilizadas,0.0,010206+010202+060810,Imaza+Aramango+Santa Rosa,"centroide (79.0 km, 111.5 km, 121.7 km)"
010602,1,Río Santiago,Condorcanqui,Amazonas,0% actas contabilizadas,0.0,010206+150706+010202,Imaza+Pastaza+Aramango,"centroide (140.4 km, 148.0 km, 172.9 km)"
010402,1,Camporredondo,Luya,Amazonas,0% actas contabilizadas,0.0,010413+010405+010410,Ocumal+Conila+Luya Viejo,"centroide (14.3 km, 20.6 km, 27.7 km)"
010103,1,Balsas,Chachapoyas,Amazonas,0% actas contabilizadas,0.0,010403+060304+010110,Cocabamba+Huasmín+Leimebamba,"centroide (24.7 km, 24.8 km, 27.8 km)"
010423,1,Providencia,Luya,Amazonas,0% actas contabilizadas,0.0,010413+010405+010414,Ocumal+Conila+Pisuquia,"centroide (3.7 km, 18.8 km, 23.9 km)"
010504,1,Huambo,Rodríguez De Mendoza,Amazonas,0% actas contabilizadas,0.0,010508+010510+010511,Mariscal Benavides+Santa Rosa+Totora,"centroide (6.1 km, 9.3 km, 10.0 km)"
010506,1,Longar,Rodríguez De Mendoza,Amazonas,0% actas contabilizadas,0.0,010508+010510+010511,Mariscal Benavides+Santa Rosa+Totora,"centroide (4.7 km, 12.6 km, 14.5 km)"
010412,1,Ocalli,Luya,Amazonas,0% actas contabilizadas,0.0,010413+010405+010410,Ocumal+Conila+Luya Viejo,"centroide (8.1 km, 16.2 km, 23.4 km)"
010706,1,Lonya Grande,Utcubamba,Amazonas,0% actas contabilizadas,0.0,010707+060503+060505,Yamon+Cujillo+La Ramada,"centroide (12.8 km, 16.8 km, 24.3 km)"
010502,1,Cochamal,Rodríguez De Mendoza,Amazonas,0% actas contabilizadas,0.0,010508+010510+010511,Mariscal Benavides+Santa Rosa+Totora,"centroide (9.2 km, 15.3 km, 15.8 km)"
020205,1,Huacllan,Aija,Áncash,0% actas contabilizadas,0.0,020208+020203+020201,Succha+Coris+Aija,"centroide (3.9 km, 5.4 km, 7.4 km)"
010505,1,Limabamba,Rodríguez De Mendoza,Amazonas,0% actas contabilizadas,0.0,010511+010503+010510,Totora+Chirimoto+Santa Rosa,"centroide (3.1 km, 6.8 km, 6.9 km)"
010501,1,San Nicolás,Rodríguez De Mendoza,Amazonas,0% actas contabilizadas,0.0,010508+010510+010511,Mariscal Benavides+Santa Rosa+Totora,"centroide (2.7 km, 7.1 km, 10.9 km)"
020405,1,Ataquero,Carhuaz,Áncash,0% actas contabilizadas,0.0,021502+021507+020401,Cascapara+Shupluy+Carhuaz,"centroide (4.9 km, 5.0 km, 5.4 km)"
020410,1,Tinco,Carhuaz,Áncash,0% actas contabilizadas,0.0,020401+020403+021507,Carhuaz+Amashca+Shupluy,"centroide (3.6 km, 4.9 km, 6.3 km)"
020105,1,Huanchay,Huaraz,Áncash,0% actas contabilizadas,0.0,020109+020104+020203,Pampas Grande+Colcabamba+Coris,"centroide (7.6 km, 14.4 km, 15.3 km)"
020107,1,La Libertad,Huaraz,Áncash,0% actas contabilizadas,0.0,020111+020104+020109,Pira+Colcabamba+Pampas Grande,"centroide (6.9 km, 8.5 km, 9.6 km)"
022002,1,Cajamarquilla,Ocros,Áncash,0% actas contabilizadas,0.0,020322+020317+020324,Canis+San Miguel De Corpanqui+La Primavera,"centroide (3.7 km, 7.7 km, 8.3 km)"
022005,1,Congas,Ocros,Áncash,0% actas contabilizadas,0.0,022009+020310+022001,San Pedro+Huayllacayan+Acas,"centroide (6.2 km, 10.3 km, 18.3 km)"
022006,1,Llipa,Ocros,Áncash,0% actas contabilizadas,0.0,020322+020324+020313,Canis+La Primavera+Mangas,"centroide (6.4 km, 9.6 km, 9.9 km)"
022007,1,Ocros,Ocros,Áncash,0% actas contabilizadas,0.0,022001+022009+022004,Acas+San Pedro+Cochas,"centroide (9.6 km, 10.5 km, 15.1 km)"
022008,1,San Cristóbal De Rajan,Ocros,Áncash,0% actas contabilizadas,0.0,020322+020317+020324,Canis+San Miguel De Corpanqui+La Primavera,"centroide (7.7 km, 11.6 km, 11.8 km)"
022010,1,Santiago De Chilcas,Ocros,Áncash,0% actas contabilizadas,0.0,022001+022004+022003,Acas+Cochas+Carhuapampa,"centroide (4.7 km, 12.6 km, 15.0 km)"
021004,1,Huacaschuque,Pallasca,Áncash,0% actas contabilizadas,0.0,021002+021001+021003,Bolognesi+Cabana+Conchucos,"centroide (7.0 km, 9.6 km, 17.2 km)"
021005,1,Huandoval,Pallasca,Áncash,0% actas contabilizadas,0.0,021001+021002+021003,Cabana+Bolognesi+Conchucos,"centroide (7.8 km, 8.6 km, 15.2 km)"
021006,1,Lacabamba,Pallasca,Áncash,0% actas contabilizadas,0.0,021003+021001+021002,Conchucos+Cabana+Bolognesi,"centroide (5.1 km, 19.1 km, 19.5 km)"
021007,1,Llapo,Pallasca,Áncash,0% actas contabilizadas,0.0,021010+020603+020607,Santa Rosa+Bambas+Yupan,"centroide (3.2 km, 11.0 km, 13.8 km)"
021008,1,Pallasca,Pallasca,Áncash,0% actas contabilizadas,0.0,021002+021001+021003,Bolognesi+Cabana+Conchucos,"centroide (12.2 km, 15.6 km, 16.2 km)"
021009,1,Pampas,Pallasca,Áncash,0% actas contabilizadas,0.0,021003+021002+021001,Conchucos+Bolognesi+Cabana,"centroide (9.4 km, 24.2 km, 25.3 km)"
021011,1,Tauca,Pallasca,Áncash,0% actas contabilizadas,0.0,021010+021001+021002,Santa Rosa+Cabana+Bolognesi,"centroide (7.2 km, 9.2 km, 13.4 km)"
021303,1,Macate,Santa,Áncash,0% actas contabilizadas,0.0,020709+020603+020607,Yuracmarca+Bambas+Yupan,"centroide (17.5 km, 18.9 km, 19.2 km)"
021302,1,Caceres Del Perú,Santa,Áncash,0% actas contabilizadas,0.0,020706+020710+021305,Pamparomas+Santo Toribio+Nepeña,"centroide (18.4 km, 29.6 km, 30.2 km)"
021304,1,Moro,Santa,Áncash,0% actas contabilizadas,0.0,021305+020706+021505,Nepeña+Pamparomas+Quillo,"centroide (19.8 km, 23.3 km, 26.2 km)"
021401,1,Sihuas,Sihuas,Áncash,0% actas contabilizadas,0.0,021408+021409+021404,Cashapampa+Ragash+Huayllabamba,"centroide (2.6 km, 4.6 km, 7.4 km)"
030303,1,Chiara,Andahuaylas,Apurímac,0% actas contabilizadas,0.0,051110+051103+051102,Chilcayoc+Chalcos+Belén,"centroide (6.5 km, 9.4 km, 11.6 km)"
030308,1,Pampachiri,Andahuaylas,Apurímac,0% actas contabilizadas,0.0,051107+051108+030314,San Pedro De Larcay+Soras+Pomacocha,"centroide (3.6 km, 10.3 km, 12.5 km)"
030105,1,Huanipaca,Abancay,Apurímac,0% actas contabilizadas,0.0,030108+030109+030101,San Pedro De Cachora+Tamburco+Abancay,"centroide (13.1 km, 15.8 km, 16.0 km)"
030405,1,Oropesa,Antabamba,Apurímac,0% actas contabilizadas,0.0,030604+030610+030609,Mamara+Turpay+San Antonio,"centroide (4.6 km, 7.3 km, 12.0 km)"
030407,1,Sabaino,Antabamba,Apurímac,0% actas contabilizadas,0.0,030403+030401+030404,Huaquirca+Antabamba+Juan Espinoza Medrano,"centroide (6.1 km, 9.3 km, 13.2 km)"
030217,1,Justo Apu Sahuaraura,Aymaraes,Apurímac,0% actas contabilizadas,0.0,030212+030209+030402,Tapairihua+Pocohuanca+El Oro,"centroide (3.7 km, 12.2 km, 14.2 km)"
030207,1,Ihuayllo,Aymaraes,Apurímac,0% actas contabilizadas,0.0,030202+030211+030214,Capaya+Soraya+Toraya,"centroide (6.0 km, 6.2 km, 9.3 km)"
030215,1,Yanaca,Aymaraes,Apurímac,0% actas contabilizadas,0.0,030209+030212+030402,Pocohuanca+Tapairihua+El Oro,"centroide (7.9 km, 9.6 km, 11.1 km)"
030406,1,Pachaconas,Antabamba,Apurímac,0% actas contabilizadas,0.0,030402+030209+030212,El Oro+Pocohuanca+Tapairihua,"centroide (4.8 km, 7.6 km, 16.2 km)"
030706,1,Huaccana,Chincheros,Apurímac,0% actas contabilizadas,0.0,030702+030710+030701,Ongoy+El Porvenir+Chincheros,"centroide (2.8 km, 10.4 km, 14.9 km)"
040116,1,San Juan De Tarucani,Arequipa,Arequipa,0% actas contabilizadas,0.0,170210+170206+040214,Ubinas+Lloque+San Antonio De Chuca,"centroide (31.5 km, 37.9 km, 38.5 km)"
030709,1,Rocchacc,Chincheros,Apurímac,0% actas contabilizadas,0.0,030710+030703+030702,El Porvenir+Ocobamba+Ongoy,"centroide (4.9 km, 6.3 km, 8.5 km)"
040511,1,Tipan,Castilla,Arequipa,0% actas contabilizadas,0.0,040514+040510+040508,Viraco+Pampacolca+Machaguay,"centroide (7.6 km, 7.8 km, 8.1 km)"
040513,1,Uñon,Castilla,Arequipa,0% actas contabilizadas,0.0,040508+040514+040510,Machaguay+Viraco+Pampacolca,"centroide (11.8 km, 12.6 km, 15.3 km)"
050108,1,Santiago De Pischa,Huamanga,Ayacucho,0% actas contabilizadas,0.0,080309+080310+050106,San Antonio De Antaparco+Santo Tomás De Pata+San José De Ticllas,"centroide (2.2 km, 4.1 km, 8.3 km)"
050310,1,Canayre,Huanta,Ayacucho,0% actas contabilizadas,0.0,050302+080709+050311,Ayahuanco+San Pedro De Coris+Uchuraccay,"centroide (48.1 km, 53.5 km, 54.9 km)"
050312,1,Pucacolpa,Huanta,Ayacucho,0% actas contabilizadas,0.0,080710+080709+080506,Pachamarca+San Pedro De Coris+Colcabamba,"centroide (11.3 km, 19.4 km, 20.7 km)"
050309,1,Llochegua,Huanta,Ayacucho,0% actas contabilizadas,0.0,050311+050302+050313,Uchuraccay+Ayahuanco+Chaca,"centroide (46.9 km, 50.4 km, 52.8 km)"
050410,1,Anchihuay,La Mar,Ayacucho,0% actas contabilizadas,0.0,050401+050406+050404,San Miguel+Tambo+Chilcas,"centroide (46.3 km, 48.4 km, 49.0 km)"
050308,1,Sivia,Huanta,Ayacucho,0% actas contabilizadas,0.0,050311+050313+050307,Uchuraccay+Chaca+Santillana,"centroide (41.7 km, 48.3 km, 51.3 km)"
050402,1,Anco,La Mar,Ayacucho,0% actas contabilizadas,0.0,050404+050401+050406,Chilcas+San Miguel+Tambo,"centroide (24.9 km, 30.2 km, 36.2 km)"
050403,1,Ayna,La Mar,Ayacucho,0% actas contabilizadas,0.0,050311+050406+050401,Uchuraccay+Tambo+San Miguel,"centroide (41.5 km, 43.9 km, 47.9 km)"
050405,1,Chungui,La Mar,Ayacucho,0% actas contabilizadas,0.0,030710+030702+030703,El Porvenir+Ongoy+Ocobamba,"centroide (19.6 km, 20.7 km, 29.7 km)"
050407,1,Luis Carranza,La Mar,Ayacucho,0% actas contabilizadas,0.0,050404+050111+050113,Chilcas+Acocro+Ocros,"centroide (6.6 km, 16.0 km, 18.1 km)"
050411,1,Oronccoy,La Mar,Ayacucho,0% actas contabilizadas,0.0,030710+030703+030302,El Porvenir+Ocobamba+Andarapa,"centroide (17.1 km, 17.6 km, 18.0 km)"
050415,1,Río Magdalena,La Mar,Ayacucho,0% actas contabilizadas,0.0,050414,Ninabamba,provincia
050409,1,Samugari,La Mar,Ayacucho,0% actas contabilizadas,0.0,050406+050401+050404,Tambo+San Miguel+Chilcas,"centroide (44.4 km, 44.5 km, 52.4 km)"
050408,1,Santa Rosa,La Mar,Ayacucho,0% actas contabilizadas,0.0,050406+050401+050311,Tambo+San Miguel+Uchuraccay,"centroide (42.3 km, 44.9 km, 45.2 km)"
050412,1,Unión Progreso,La Mar,Ayacucho,0% actas contabilizadas,0.0,050413,Patibamba,provincia
