nivel,id_ambito_geografico,ubigeo_departamento,nombre_departamento,ubigeo_provincia,nombre_provincia,actasContabilizadas,contabilizadas,totalActas,participacionCiudadana,actasEnviadasJee,enviadasJee,actasPendientesJee,pendientesJee,fechaActualizacion,idUbigeoDepartamento,idUbigeoProvincia,idUbigeoDistrito,idUbigeoDistritoElectoral,totalVotosEmitidos,totalVotosValidos,porcentajeVotosEmitidos,porcentajeVotosValidos,error
total,,,TOTAL (Peru + exterior),,,95.132,88250,92766,70.32,4.868,4516,0.0,0,1777041905105,140000,140100,140101,15,19215253,16004948,100,100,
exterior,2,,TOTAL Exterior (ambito 2),,,84.271,2143,2543,27.943,15.729,400,0.0,0,1777042806561,140000,140100,140101,15,338341,260007,100,100,
departamento,1,010000,Amazonas,,,95.383,1219,1278,59.471,4.617,59,0.0,0,1777042806561,140000,140100,140101,15,205321,156343,100,100,
nacional,1,,TOTAL Peru (ambito 1),,,95.438,86107,90223,72.285,4.562,4116,0.0,0,1777042806561,140000,140100,140101,15,18876912,15744941,100,100,
departamento,1,020000,Áncash,,,94.787,3291,3472,68.221,5.213,181,0.0,0,1777042806561,140000,140100,140101,15,662684,516731,100,100,
departamento,1,060000,Cajamarca,,,97.146,4119,4240,66.821,2.854,121,0.0,0,1777042806561,140000,140100,140101,15,801038,627714,100,100,
departamento,1,040000,Arequipa,,,98.837,4166,4215,80.144,1.163,49,0.0,0,1777042806561,140000,140100,140101,15,982990,870600,100,100,
departamento,1,030000,Apurímac,,,96.431,1270,1317,68.16,3.569,47,0.0,0,1777042806561,140000,140100,140101,15,246288,194027,100,100,
departamento,1,050000,Ayacucho,,,98.737,1876,1900,67.518,1.263,24,0.0,0,1777042806561,140000,140100,140101,15,351252,280372,100,100,
departamento,1,070000,Cusco,,,96.209,3832,3983,71.48,3.791,151,0.0,0,1777042806561,140000,140100,140101,15,810407,668552,100,100,
departamento,1,080000,Huancavelica,,,95.13,1211,1273,61.101,4.87,62,0.0,0,1777042806561,140000,140100,140101,15,207406,164914,100,100,
departamento,1,090000,Huánuco,,,93.806,2196,2341,63.03,6.194,145,0.0,0,1777042806561,140000,140100,140101,15,413802,322180,100,100,
departamento,1,100000,Ica,,,92.018,2248,2443,75.167,7.982,195,0.0,0,1777042806561,140000,140100,140101,15,536690,444887,100,100,
departamento,1,110000,Junín,,,95.774,3535,3691,70.833,4.226,156,0.0,0,1777042806561,140000,140100,140101,15,752602,610178,100,100,
departamento,1,120000,La Libertad,,,96.85,5135,5302,72.782,3.15,167,0.0,0,1777042806561,140000,140100,140101,15,1130085,905030,100,100,
departamento,1,130000,Lambayeque,,,97.799,3511,3590,76.181,2.201,79,0.0,0,1777042806561,140000,140100,140101,15,800933,654827,100,100,
departamento,1,140000,Lima,,,95.593,27958,29247,76.331,4.407,1289,0.0,0,1777042806561,140000,140100,140101,15,6603374,5828541,100,100,
departamento,1,150000,Loreto,,,86.986,2346,2697,50.907,13.014,351,0.0,0,1777042806561,140000,140100,140101,15,394998,298113,100,100,
departamento,1,160000,Madre De Dios,,,89.349,453,507,63.091,10.651,54,0.0,0,1777042806561,140000,140100,140101,15,93108,72373,100,100,
departamento,1,170000,Moquegua,,,96.194,556,578,76.734,3.806,22,0.0,0,1777042806561,140000,140100,140101,15,126325,109807,100,100,
departamento,1,190000,Piura,,,93.202,4922,5281,69.832,6.798,359,0.0,0,1777042806561,140000,140100,140101,15,1071287,824119,100,100,
departamento,1,180000,Pasco,,,93.142,747,802,60.862,6.858,55,0.0,0,1777042806561,140000,140100,140101,15,136146,108253,100,100,
departamento,1,200000,Puno,,,98.764,3355,3397,78.914,1.236,42,0.0,0,1777042806561,140000,140100,140101,15,760323,643238,100,100,
departamento,1,210000,San Martín,,,93.607,2372,2534,69.024,6.393,162,0.0,0,1777042806561,140000,140100,140101,15,499462,365553,100,100,
departamento,1,220000,Tacna,,,98.271,1023,1041,80.858,1.729,18,0.0,0,1777042806561,140000,140100,140101,15,244688,217072,100,100,
departamento,1,230000,Tumbes,,,90.665,573,632,70.811,9.335,59,0.0,0,1777042806561,140000,140100,140101,15,128393,100640,100,100,
departamento,1,240000,Callao,,,96.101,2785,2898,75.064,3.899,113,0.0,0,1777042806561,140000,140100,140101,15,644778,556678,100,100,
provincia,1,010000,Amazonas,010100,Chachapoyas,90.588,154,170,64.272,9.412,16,0.0,0,1777042806561,140000,140100,140101,15,29305,23274,100,100,
provincia,1,010000,Amazonas,010200,Bagua,98.4,246,250,59.311,1.6,4,0.0,0,1777042806561,140000,140100,140101,15,41429,32030,100,100,
departamento,1,250000,Ucayali,,,90.026,1408,1564,60.039,9.974,156,0.0,0,1777042806561,140000,140100,140101,15,272532,204199,100,100,
provincia,1,010000,Amazonas,010400,Luya,96.226,153,159,61.044,3.774,6,0.0,0,1777042806561,140000,140100,140101,15,24450,17731,100,100,
