codigoMesa,id,votos_sanchez,votos_aliaga,totalVotosEmitidos,totalVotosValidos,nombreLocalVotacion
004672,467203031010,49,7,182,157,IE 54104 CRISTO REY
004673,467303031010,61,6,184,149,IE 54104 CRISTO REY
004674,467403031010,74,7,230,193,IE 54104 CRISTO REY
004675,467503031010,64,7,229,193,IE 54104 CRISTO REY
004676,467603031010,60,3,219,181,IE 54104 CRISTO REY
004677,467703031010,70,8,241,197,IE 54104 CRISTO REY
004678,467803031010,74,6,222,186,IE 54104 CRISTO REY
004679,467903031010,73,8,230,192,IE 54104 CRISTO REY
004680,468003031010,81,9,234,196,IE 54104 CRISTO REY
004681,468103031010,82,3,224,171,IE 54104 CRISTO REY
004682,468203031010,52,20,215,187,IE 54104 CRISTO REY
004683,468303031010,61,6,223,171,IE 54104 CRISTO REY
004684,468403031010,52,10,185,161,IE AGROPECUARIO 08
004685,468503031010,73,7,192,167,IE AGROPECUARIO 08
004686,468603031010,54,4,176,151,IE AGROPECUARIO 08
004687,468703031010,80,7,232,196,IE AGROPECUARIO 08
004688,468803031010,48,3,228,200,IE AGROPECUARIO 08
004689,468903031010,85,7,240,213,IE AGROPECUARIO 08
004690,469003031010,90,7,233,207,IE AGROPECUARIO 08
004691,469103031010,79,9,236,198,IE AGROPECUARIO 08
004692,469203031010,79,10,251,225,IE AGROPECUARIO 08
004693,469303031010,57,10,226,185,IE AGROPECUARIO 08
004694,469403031010,91,2,232,201,IE AGROPECUARIO 08
004695,469503031010,93,5,230,185,IE AGROPECUARIO 08
004696,469603031010,76,8,236,206,IE AGROPECUARIO 08
004697,469703031010,86,7,249,211,IE AGROPECUARIO 08
004698,469803031010,83,9,231,195,IE AGROPECUARIO 08
004699,469903031010,45,4,165,128,IE 54105 JUAN PABLO II
004700,470003031010,61,6,236,202,IE 54105 JUAN PABLO II
004701,470103031010,66,8,228,189,IE 54105 JUAN PABLO II
004702,470203031010,51,9,228,210,IE 54105 JUAN PABLO II
004703,470303031010,75,6,234,190,IE 54105 JUAN PABLO II
004704,470403031010,68,7,220,187,IE 54105 JUAN PABLO II
004705,470503031010,68,7,233,194,IE 54105 JUAN PABLO II
004706,470603031010,72,11,219,185,IE 54105 JUAN PABLO II
004707,470703031010,81,1,220,170,IE 54105 JUAN PABLO II
004708,470803031010,85,5,222,181,IE 54105 JUAN PABLO II
004709,470903031010,68,10,232,188,IE 54105 JUAN PABLO II
004710,471003031010,80,7,223,182,IE 54105 JUAN PABLO II
004711,471103031010,51,2,183,154,IE VIRGEN DEL CARMEN
004712,471203031010,54,4,155,132,IE VIRGEN DEL CARMEN
004713,471303031010,53,3,224,203,IE VIRGEN DEL CARMEN
004714,471403031010,62,5,214,195,IE VIRGEN DEL CARMEN
004715,471503031010,76,3,223,190,IE VIRGEN DEL CARMEN
004716,471603031010,65,14,221,180,IE VIRGEN DEL CARMEN
004717,471703031010,64,9,213,182,IE VIRGEN DEL CARMEN
004718,471803031010,64,9,213,182,IE VIRGEN DEL CARMEN
004719,471903031010,102,4,233,192,IE VIRGEN DEL CARMEN
004720,472003031010,67,3,213,184,IE VIRGEN DEL CARMEN
004721,472103031010,60,9,196,173,IE VIRGEN DEL CARMEN
900717,90071703031010,86,0,167,109,IE SAN MARTIN DE PORRES
900718,90071803031010,119,2,224,162,IE SAN MARTIN DE PORRES
900719,90071903031010,110,1,214,147,IE SAN MARTIN DE PORRES
900720,90072003031010,116,0,220,165,IE SAN MARTIN DE PORRES
900721,90072103031010,114,2,216,158,IE SAN MARTIN DE PORRES
900722,90072203031010,127,0,202,156,IE SEÑOR DE LOS MILAGROS
900723,90072303031010,111,2,240,170,IE SEÑOR DE LOS MILAGROS
900724,90072403031010,142,0,240,192,IE SEÑOR DE LOS MILAGROS
900725,90072503031010,140,2,246,193,IE SEÑOR DE LOS MILAGROS
900726,90072603031010,150,1,236,186,IE SEÑOR DE LOS MILAGROS
900728,90072803031010,75,0,164,119,IE 54163 MARIA AUXILIADORA DE CUPISA
900729,90072903031010,86,0,169,122,IE 54163 MARIA AUXILIADORA DE CUPISA
