codigoMesa,sanchez,aliaga
036059,6,28
036073,8,55
036097,6,35
036211,1,49
036303,4,45
036366,7,39
036412,1,37
036420,4,41
036510,3,62
036550,2,32
036570,6,45
036595,2,44
036738,2,29
036752,2,48
036775,9,29
036776,3,49
036803,2,44
036829,2,49
036833,4,42
036852,8,46
036901,2,50
037042,12,26
037081,8,18
037084,17,24
037126,15,14
037236,0,95
037298,2,82
037458,14,21
037461,11,31
037470,14,14
037521,20,17
037532,14,43
037609,13,25
037611,11,21
037625,16,16
037647,15,18
037786,5,33
037811,6,30
038032,3,26
038089,26,18
038266,4,31
038267,13,35
038268,4,33
038309,9,33
038383,19,26
038466,10,56
038564,7,41
038680,5,71
038759,8,20
038772,10,28
038802,14,17
038841,4,46
038856,5,37
038862,3,51
038869,6,51
038973,3,43
039023,3,49
039387,2,54
039408,14,23
039426,6,22
039451,11,45
039454,3,33
039458,11,43
039477,2,34
039687,9,25
039763,17,13
039771,8,17
039822,5,19
039841,11,20
039883,7,15
039898,10,34
039931,9,28
039981,8,27
039997,2,31
040069,5,41
040213,5,51
040260,3,18
040277,3,36
040312,4,20
040322,4,30
040407,1,40
040472,2,49
040516,5,30
040522,7,34
040549,5,33
040613,4,17
040617,11,23
040654,8,24
040660,6,18
040661,4,35
040674,3,20
040928,6,27
040942,5,37
040968,7,36
040977,7,36
040978,4,41
040993,4,28
040994,5,39
041039,4,27
041041,3,70
041138,6,24
041162,5,20
041182,5,39
041223,6,30
041266,6,37
041314,4,22
041390,4,28
041419,5,27
041491,1,88
041609,7,47
041666,2,47
041684,3,52
041703,4,43
041737,1,47
041786,6,44
041787,3,36
041801,6,43
041806,1,90
041818,2,47
041878,5,29
041979,2,31
041982,5,43
042011,5,28
042032,4,29
042226,0,59
042227,3,45
042232,1,61
042253,4,45
042334,6,48
042373,3,36
042374,6,43
042523,8,44
042530,8,31
042534,8,29
042588,3,41
042634,7,49
042650,2,60
042651,3,50
042682,4,30
042725,12,37
042726,7,32
042741,5,55
042742,1,29
042780,2,57
042819,3,47
042820,6,37
042825,5,33
042856,6,83
042878,7,66
042913,0,100
042942,1,44
042959,1,73
042960,4,73
042987,2,49
043036,5,54
043039,6,32
043041,11,37
043056,6,31
043084,5,32
043110,6,36
043111,4,39
043112,6,32
043115,4,32
043127,4,46
043128,7,48
043160,6,41
043177,0,122
043198,3,72
043256,2,68
043268,4,75
043338,0,99
043346,0,123
043363,5,99
043364,5,82
043417,4,82
043418,4,84
043437,0,106
043451,3,96
043554,0,93
043567,2,130
043568,2,133
043654,2,102
043786,1,59
043789,1,84
043791,3,75
043829,2,60
043900,2,60
043908,0,75
043928,5,53
043990,0,54
044001,0,61
044018,4,64
044046,15,32
044175,7,35
044185,9,34
044187,14,41
044282,14,29
044330,11,32
044335,17,22
044348,9,29
044398,10,29
044422,14,22
044570,18,29
044814,4,58
044867,2,75
044947,3,81
044961,3,98
045081,0,105
045084,3,94
045233,0,114
045237,0,116
045270,2,93
045310,1,82
045389,1,90
045399,2,80
045405,0,87
045414,1,75
045417,7,81
045431,3,93
045448,0,74
045449,1,100
045605,19,29
045664,22,24
045679,17,24
045755,11,32
045763,10,19
045845,0,68
045881,1,82
046021,2,62
046051,1,57
046053,1,58
046070,0,68
046072,4,68
046099,3,73
046104,2,93
046119,13,12
046136,0,3
046137,11,13
046155,9,22
046188,14,20
046274,11,19
046304,19,12
046342,16,22
046427,9,28
046456,16,14
046534,6,25
046547,10,37
046609,9,25
046628,9,20
046976,10,21
046978,10,26
047013,12,17
047110,10,37
047132,2,39
047181,4,42
047184,2,46
047193,8,26
047273,6,44
047395,12,33
047433,8,21
047480,3,40
047547,3,29
047613,2,18
047619,6,23
047678,8,44
047679,7,53
047807,0,137
047880,0,105
047895,2,88
047908,3,105
048060,1,59
048070,2,70
048448,0,50
048499,4,49
048680,3,65
048726,0,49
048729,3,52
048879,0,25
048908,5,25
048909,4,23
048945,2,33
049019,3,34
049103,6,28
049122,8,26
049128,3,53
049140,1,46
049162,5,32
049196,1,51
049207,9,31
049300,7,26
049357,9,47
049479,6,39
049481,8,24
049506,3,34
049526,10,33
049530,5,21
049540,3,34
049572,6,41
049584,5,22
049617,3,31
049635,11,45
049701,7,29
049735,5,34
049759,2,26
049761,7,32
049900,6,37
049974,1,66
050011,0,98
050037,1,80
050051,0,70
050080,1,63
050137,0,108
050292,1,78
050300,2,64
050371,2,66
050489,20,25
050532,1,81
050538,0,74
050634,1,77
050664,0,64
050744,0,82
050868,2,90
050909,1,84
050936,0,89
051001,1,53
051059,3,51
051096,0,172
051206,3,66
051232,2,80
051315,4,79
051368,3,79
051498,1,99
051558,1,111
051672,3,90
051716,1,100
051733,5,54
051803,1,63
051868,3,71
051921,2,62
051928,4,52
051935,7,50
051939,2,65
051946,2,85
051977,3,65
052073,9,21
052264,4,31
052269,6,16
052279,6,35
052283,10,23
052286,10,32
052287,5,33
052316,7,25
052319,6,29
052337,2,22
052395,6,37
052482,1,35
052539,8,12
052653,9,35
052776,14,15
052790,6,43
052803,6,18
052830,10,17
052876,7,30
052974,10,30
052997,18,24
053087,6,17
053096,16,27
053114,8,34
053186,4,30
053193,10,33
053222,13,32
053285,4,66
053287,4,69
053331,1,67
053339,4,104
053376,1,69
053454,1,63
053461,2,72
053462,3,69
053488,1,47
053551,3,81
053591,2,83
053707,8,30
053711,1,29
053773,9,26
053798,10,38
053828,6,47
053866,7,32
053893,8,25
053895,6,32
053918,8,32
053919,7,40
053926,7,20
053942,8,34
054031,11,31
054046,4,24
054047,12,25
054048,7,30
054049,8,37
054051,7,37
054056,6,29
054060,8,19
054075,1,31
054114,5,18
054136,6,37
054143,8,31
054165,1,6
054199,5,31
054205,13,20
054228,6,27
054299,6,30
054339,2,40
054382,5,24
054425,5,42
054429,5,29
054454,6,24
054622,5,15
054623,14,13
054669,9,23
054715,8,26
054767,3,21
054845,11,30
054869,11,43
054893,8,40
055122,0,51
055129,5,28
055131,4,36
055139,1,25
055224,6,36
055233,2,59
055247,2,47
055286,5,40
055301,8,39
055321,5,47
055378,3,44
055519,6,22
055535,4,56
055543,8,45
055668,6,50
055678,4,28
055709,8,41
055817,13,27
055841,8,42
055951,8,25
055962,6,37
055966,7,37
055973,16,19
056045,8,41
056085,10,18
056122,6,27
056189,8,17
056209,5,20
056253,9,16
056307,8,12
056391,11,13
056473,10,50
056524,8,25
056536,0,36
056557,18,19
056586,4,30
056613,10,46
056680,10,40
056830,16,20
056859,3,46
056929,9,26
057012,4,14
057106,5,40
057113,11,28
057130,6,9
057425,4,25
057502,7,18
057567,5,31
057574,8,18
057575,6,32
057586,7,18
057618,11,17
057631,3,29
057667,3,42
057708,6,23
057710,7,19
057715,2,21
057717,6,26
057722,4,34
057741,6,26
057746,6,15
057747,4,25
057759,7,18
057826,7,11
057852,4,22
057929,10,32
057941,12,14
057951,6,18
