codigoMesa,sanchez,aliaga
000033,14,16
000062,20,10
000088,26,1
000093,14,4
000096,14,1
000121,36,5
000123,44,13
000124,36,16
000127,48,2
000131,6,7
000153,11,5
000155,35,3
000160,23,4
000204,39,3
000260,28,8
000267,51,1
000276,10,13
000280,57,12
000290,54,9
000328,75,0
000356,40,0
000357,32,0
000359,52,2
000366,54,1
000469,14,8
000474,64,5
000685,39,1
000696,46,0
000701,58,0
000717,2,0
000718,0,0
000758,68,0
000761,91,1
000762,35,0
000766,70,0
000809,43,10
000812,54,4
000834,63,6
000895,54,4
000910,63,3
000914,41,1
000915,2,1
000940,50,4
000962,54,6
000977,54,3
000988,0,1
000989,76,2
000990,84,4
000996,49,1
001000,63,0
001011,61,6
001015,51,3
001022,0,0
001032,47,4
001042,5,14
001044,15,12
001046,14,20
001058,15,0
001065,12,28
001068,17,19
001070,15,23
001078,12,15
001081,17,23
001083,16,25
001092,25,14
001148,18,10
001168,15,18
001173,18,24
001176,17,16
001188,15,15
001211,14,16
001225,15,8
001228,23,3
001234,25,12
001244,20,11
001276,10,9
001282,21,15
001359,38,1
001361,31,4
001386,45,1
001403,30,4
001407,26,5
001492,6,4
001535,30,9
001543,54,17
001557,24,11
001560,36,10
001583,47,2
001662,15,12
001675,12,17
001676,7,9
001678,23,29
001686,14,20
001688,12,19
001700,6,21
001704,23,20
001730,11,14
001750,15,17
001751,11,24
001755,38,3
001763,10,12
001771,11,16
001782,21,12
001784,18,8
001818,4,9
001879,21,7
001893,13,4
001929,30,6
001947,38,0
001966,36,4
001992,44,2
001995,24,11
001998,0,8
002013,31,2
002021,14,1
002049,29,0
002061,65,2
002062,35,2
002068,28,10
002071,34,4
002072,29,0
002074,23,2
002090,23,2
002101,38,3
002112,10,7
002126,22,4
002135,18,3
002143,36,11
002144,36,11
002145,49,4
002151,31,3
002167,23,7
002175,13,8
002176,10,5
002183,7,2
002207,49,4
002210,18,11
002213,18,11
002218,20,3
002220,9,5
002246,52,6
002267,52,2
002279,16,6
002281,13,5
002296,38,4
002298,33,2
002309,10,6
002326,35,2
002336,43,1
002354,2,5
002367,80,4
002368,82,0
002383,6,2
002388,24,2
002391,30,5
002498,14,11
002513,12,15
002515,4,16
002522,4,15
002527,8,9
002533,15,5
002540,7,15
002541,8,17
002558,6,1
002560,13,4
002561,12,20
002563,7,13
002586,10,15
002611,6,10
002627,7,13
002634,4,8
002654,6,15
002688,8,0
002789,8,27
002852,7,9
002921,5,3
002943,14,16
002960,13,23
002990,8,13
003039,10,0
003058,33,6
003061,24,7
003066,26,4
003094,16,13
